,TF Q3 H5,FC Q4 H6,TF Q4 H5,TF Q3 H2,TF Q3 H3,TF Q3 H4,TF Q3 H6,TF Q3 H7,TF Q3 H8,TF Q4 H1,TF Q4 H2,TF Q4 H3,TF Q4 H5,TF Q4 H6,FC Q4 H4,FC Q4 H5,FC Q4 H7,FC Q4 H8,AVG
60,701.2985143,584.4154286,882.929784,578.9020755,1831.749851,509.2416598,128.510199,659.823871,101.9329236,587.2116746,622.9809137,565.563318,776.7546835,689.4788764,1005.960984,909.0906667,997.782439,864.276338,722.1057889
330,816.2029262,716.5603185,698.034974,754.1054854,1366.396397,747.5081063,706.8060942,657.253963,372.9280773,628.4914525,572.5189313,666.9958696,743.3918722,693.7305447,700.9343925,740.94382,715.8004454,715.8004454,723.0224509
660,738.108059,791.3245252,688.775327,1491.712309,742.9827408,778.995753,710.5261263,669.3106792,778.0977752,715.0421822,805.9699343,749.5833648,828.220638,795.5212964,723.4724759,836.9495598,777.6495622,702.7587923,795.8333945
1000,718.2071629,714.4442892,768.967669,734.9816745,774.4998107,710.2270833,736.8350144,814.2730892,1178.936023,720.9918928,448.9582968,760.3918216,765.5142216,771.869434,437.3431687,296.9590592,773.0362812,723.542271,713.8876813
660,287.72,283.73,290.32,206.7,88.61,274.05,291.26,278.46,287.23,287.78,,288.58,290.32,289.32,210.73,246.71,284.56,284.33,
660,288.15,282.01,290.94,214.31,289.14,289.38,284.09,203.43,289.38,150.61,283.07,240.89,290.94,291.13,276.29,284.51,285.11,282.24,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.01347,m,,,,,,,,,,,,,,,,,,
731.8,b,,,,,,,,,,,,,,,,,,
60,732.6082,,,,,,,,,,,,,,,,,,
330,736.2451,,,,,,,,,,,,,,,,,,
660,740.6902,,,,,,,,,,,,,,,,,,
1000,745.27,,,,,,,,,,,,,,,,,,
