Timestamp,Category,Round,Heat,Day
2019-10-12T00:00:01Z,Funny Car,Q2,Heat 1,Friday
2019-10-12T00:03:44Z,Funny Car,Q2,Heat 2,Friday
2019-10-12T00:19:35Z,Funny Car,Q2,Heat 4,Friday
2019-10-12T00:22:51Z,Funny Car,Q2,Heat 5,Friday
2019-10-12T00:26:20Z,Funny Car,Q2,Heat 7,Friday
2019-10-12T00:29:45Z,Funny Car,Q2,Heat 9,Friday
2019-10-12T00:33:36Z,Top Fuel,Q2,Heat 1,Friday
2019-10-12T00:36:51Z,Top Fuel,Q2,Heat 2,Friday
2019-10-12T00:40:49Z,Top Fuel,Q2,Heat 3,Friday
2019-10-12T00:43:51Z,Top Fuel,Q3,Heat 4,Friday
2019-10-12T00:47:06Z,Top Fuel,Q3,Heat 5,Friday
2019-10-12T00:50:36Z,Top Fuel,Q3,Heat 6,Friday
2019-10-12T00:54:11Z,Top Fuel,Q3,Heat 7,Friday
2019-10-12T00:59:41Z,Top Fuel,Q3,Heat 8,Friday
2019-10-12T18:07:21Z,Top Fuel ,Q3,Heat 2,Saturday
2019-10-12T18:15:38Z,Top Fuel ,Q3,Heat 3,Saturday
2019-10-12T18:18:30Z,Top Fuel ,Q3,Heat 4,Saturday
2019-10-12T18:21:15Z,Top Fuel ,Q3,Heat 5,Saturday
2019-10-12T18:23:56Z,Top Fuel ,Q3,Heat 6,Saturday
2019-10-12T18:26:54Z,Top Fuel ,Q3,Heat 7,Saturday
2019-10-12T18:29:33Z,Top Fuel ,Q3,Heat 8,Saturday
2019-10-12T18:32:12Z,Top Fuel ,Q3,Heat 9,Saturday
2019-10-12T18:36:00Z,Funny Car,Q3,Heat 1,Saturday
2019-10-12T18:44:03Z,Funny Car,Q3,Heat 2,Saturday
2019-10-12T18:47:00Z,Funny Car,Q3,Heat 3,Saturday
2019-10-12T18:49:51Z,Funny Car,Q3,Heat 4,Saturday
2019-10-12T18:54:25Z,Funny Car,Q3,Heat 5,Saturday
2019-10-12T18:56:58Z,Funny Car,Q3,Heat 6,Saturday
2019-10-12T18:59:52Z,Funny Car,Q3,Heat 7,Saturday
2019-10-12T19:02:24Z,Funny Car,Q3,Heat 8,Saturday
2019-10-12T19:05:16Z,Funny Car,Q3,Heat 9,Saturday
2019-10-12T21:04:09Z,Top Fuel ,Q4,Heat 1,Saturday
2019-10-12T21:06:50Z,Top Fuel ,Q4,Heat 2,Saturday
2019-10-12T21:10:03Z,Top Fuel ,Q4,Heat 3,Saturday
2019-10-12T21:12:58Z,Top Fuel ,Q4,Heat 4,Saturday
2019-10-12T21:15:33Z,Top Fuel ,Q4,Heat 5,Saturday
2019-10-12T21:18:25Z,Top Fuel ,Q4,Heat 6,Saturday
2019-10-12T21:21:08Z,Top Fuel ,Q4,Heat 7,Saturday
2019-10-12T21:24:27Z,Funny Car,Q4,Heat 1,Saturday
2019-10-12T21:27:51Z,Funny Car,Q4,Heat 2,Saturday
2019-10-12T21:30:32Z,Funny Car,Q4,Heat 3,Saturday
2019-10-12T21:33:08Z,Funny Car,Q4,Heat 4,Saturday
2019-10-12T21:35:57Z,Funny Car,Q4,Heat 5,Saturday
2019-10-12T21:44:29Z,Funny Car,Q4,Heat 6,Saturday
2019-10-12T21:47:39Z,Funny Car,Q4,Heat 7,Saturday
2019-10-12T21:50:18Z,Funny Car,Q4,Heat 8,Saturday
