Category,Round,Heat,Timestamp
Top Fuel,Q2,Heat 1,2019-10-12T00:33:36Z
Top Fuel,Q2,Heat 2,2019-10-12T00:36:51Z
Top Fuel,Q2,Heat 3,2019-10-12T00:40:49Z
Top Fuel,Q3,Heat 4,2019-10-12T00:43:51Z
Top Fuel,Q3,Heat 5,2019-10-12T00:47:06Z
Top Fuel,Q3,Heat 6,2019-10-12T00:50:36Z
Top Fuel,Q3,Heat 7,2019-10-12T00:54:11Z
Top Fuel,Q3,Heat 8,2019-10-12T00:59:41Z
Funny Car,Q2,Heat 1,2019-10-12T00:00:01Z
Funny Car,Q2,Heat 2,2019-10-12T00:03:44Z
Funny Car,Q2,Heat 4,2019-10-12T00:19:35Z
Funny Car,Q2,Heat 5,2019-10-12T00:22:51Z
Funny Car,Q2,Heat 7,2019-10-12T00:26:20Z
Funny Car,Q2,Heat 9,2019-10-12T00:29:45Z
