Category,Round,Heat,Timestamp
Funny Car,Q3,Heat 1,2019-10-12T18:36:00Z
Funny Car,Q3,Heat 2,2019-10-12T18:44:03Z
Funny Car,Q3,Heat 3,2019-10-12T18:47:00Z
Funny Car,Q3,Heat 4,2019-10-12T18:49:51Z
Funny Car,Q3,Heat 5,2019-10-12T18:54:25Z
Funny Car,Q3,Heat 6,2019-10-12T18:56:58Z
Funny Car,Q3,Heat 7,2019-10-12T18:59:52Z
Funny Car,Q3,Heat 8,2019-10-12T19:02:24Z
Funny Car,Q3,Heat 9,2019-10-12T19:05:16Z
Funny Car,Q4,Heat 1,2019-10-12T21:24:27Z
Funny Car,Q4,Heat 2,2019-10-12T21:27:51Z
Funny Car,Q4,Heat 3,2019-10-12T21:30:32Z
Funny Car,Q4,Heat 4,2019-10-12T21:33:08Z
Funny Car,Q4,Heat 5,2019-10-12T21:35:57Z
Funny Car,Q4,Heat 6,2019-10-12T21:44:29Z
Funny Car,Q4,Heat 7,2019-10-12T21:47:39Z
Funny Car,Q4,Heat 8,2019-10-12T21:50:18Z
Top Fuel ,Q3,Heat 2,2019-10-12T18:07:21Z
Top Fuel ,Q3,Heat 3,2019-10-12T18:15:38Z
Top Fuel ,Q3,Heat 4,2019-10-12T18:18:30Z
Top Fuel ,Q3,Heat 5,2019-10-12T18:21:15Z
Top Fuel ,Q3,Heat 6,2019-10-12T18:23:56Z
Top Fuel ,Q3,Heat 7,2019-10-12T18:26:54Z
Top Fuel ,Q3,Heat 8,2019-10-12T18:29:33Z
Top Fuel ,Q3,Heat 9,2019-10-12T18:32:12Z
Top Fuel ,Q4,Heat 1,2019-10-12T21:04:09Z
Top Fuel ,Q4,Heat 2,2019-10-12T21:06:50Z
Top Fuel ,Q4,Heat 3,2019-10-12T21:10:03Z
Top Fuel ,Q4,Heat 4,2019-10-12T21:12:58Z
Top Fuel ,Q4,Heat 5,2019-10-12T21:15:33Z
Top Fuel ,Q4,Heat 6,2019-10-12T21:18:25Z
Top Fuel ,Q4,Heat 7,2019-10-12T21:21:08Z
