maxVmag_counts,maxVmag_g,xValue_counts,yValue_counts,zValue_counts,xValue_g,yValue_g,zValue_g,maxVmagTime,meanVmag_counts,meanVmag_g,sta,staIndex,startTimeFile,Category,Round,Heat,Day
2940.768155,0.717960975,1501.302053,1793,1783.07613,0.366528822,0.437744141,0.435321321,2019-04-27T18:48:44.331900Z,130.9188625,0.031962613,FL,0,2019-04-27T18:48:27Z,Funny Car,Q3,Heat 1,Sunday
7525.725281,1.837335274,564,-7203,2106,0.137695313,-1.758544922,0.514160156,2019-04-27T18:48:43.871000Z,119.9577343,0.029286556,NL,1,2019-04-27T18:48:27Z,Funny Car,Q3,Heat 1,Sunday
4049.429713,0.988630301,681,3894,878,0.166259766,0.950683594,0.214355469,2019-04-27T18:48:43.939300Z,121.0411878,0.029551071,NR,2,2019-04-27T18:48:27Z,Funny Car,Q3,Heat 1,Sunday
3035.68372,0.741133721,-1739.241089,1374,2074.256513,-0.424619406,0.335449219,0.506410281,2019-04-27T18:48:44.172700Z,121.3433441,0.02962484,FR,3,2019-04-27T18:48:27Z,Funny Car,Q3,Heat 1,Sunday
2409.955004,0.588367921,339.2616471,1337,1976.16185,0.082827551,0.326416016,0.482461389,2019-04-27T18:53:55.141900Z,142.3178544,0.03474557,FL,0,2019-04-27T18:53:36Z,Funny Car,Q3,Heat 2,Sunday
9371.354545,2.287928356,-345,9365,6,-0.084228516,2.286376953,0.001464844,2019-04-27T18:53:54.166000Z,183.2478381,0.044738242,NL,1,2019-04-27T18:53:36Z,Funny Car,Q3,Heat 2,Sunday
6795.180424,1.658979596,-6000,-3114,691,-1.46484375,-0.760253906,0.168701172,2019-04-27T18:53:54.169300Z,158.0225293,0.038579719,NR,2,2019-04-27T18:53:36Z,Funny Car,Q3,Heat 2,Sunday
3555.11699,0.867948484,-2742.652989,-132,2258.160179,-0.669593015,-0.032226563,0.551308637,2019-04-27T18:53:54.777700Z,126.2965475,0.030834118,FR,3,2019-04-27T18:53:36Z,Funny Car,Q3,Heat 2,Sunday
1540.243266,0.376035954,-224.1902035,-1206,-931.4784323,-0.054733936,-0.294433594,-0.227411727,2019-04-27T18:57:16.811900Z,125.1452975,0.030553051,FL,0,2019-04-27T18:57:02Z,Funny Car,Q3,Heat 3,Sunday
10375.79997,2.533154289,-132,-7976,-6635,-0.032226563,-1.947265625,-1.619873047,2019-04-27T18:57:16.801000Z,156.5307744,0.038215521,NL,1,2019-04-27T18:57:02Z,Funny Car,Q3,Heat 3,Sunday
5766.282425,1.407783795,372,5602,1315,0.090820313,1.367675781,0.321044922,2019-04-27T18:57:16.629300Z,152.6058745,0.037257294,NR,2,2019-04-27T18:57:02Z,Funny Car,Q3,Heat 3,Sunday
2345.722895,0.572686254,-2273.32906,560,144.1904419,-0.555011978,0.13671875,0.035202745,2019-04-27T18:57:17.072700Z,124.9968464,0.030516808,FR,3,2019-04-27T18:57:02Z,Funny Car,Q3,Heat 3,Sunday
2914.405446,0.711524767,-2739.702395,-982,-153.1858034,-0.668872655,-0.239746094,-0.037398878,2019-04-27T21:25:33.356200Z,131.9758351,0.032220663,FL,0,2019-04-27T21:25:15Z,Funny Car,Q4,Heat 1,Sunday
5797.236324,1.415340899,762,5548,1499,0.186035156,1.354492188,0.365966797,2019-04-27T21:25:33.321100Z,105.5871168,0.025778105,NL,1,2019-04-27T21:25:15Z,Funny Car,Q4,Heat 1,Sunday
5874.216629,1.434134919,-753,-5484,-1966,-0.183837891,-1.338867188,-0.479980469,2019-04-27T21:25:33.228600Z,139.9817305,0.034175227,NR,2,2019-04-27T21:25:15Z,Funny Car,Q4,Heat 1,Sunday
