Category,Round,Heat,Timestamp
Top Fuel,E1,Heat 1,2019-04-28T16:04:29Z
Top Fuel,E1,Heat 2,2019-04-28T16:08:24Z
Top Fuel,E1,Heat 3,2019-04-28T16:13:15Z
Top Fuel,E1,Heat 4,2019-04-28T16:18:06Z
Top Fuel,E2,Heat 1,2019-04-28T18:19:26Z
Top Fuel,E2,Heat 2,2019-04-28T18:24:28Z
Top Fuel,Final,Heat 1,2019-04-28T20:23:19Z
Funny Car,E1,Heat 1,2019-04-28T16:23:15Z
Funny Car,E1,Heat 2,2019-04-28T16:26:41Z
Funny Car,E1,Heat 3,2019-04-28T16:30:52Z
Funny Car,E1,Heat 4,2019-04-28T16:35:00Z
Funny Car,E2,Heat 1,2019-04-28T18:28:04Z
Funny Car,E2,Heat 2,2019-04-28T18:31:52Z
Funny Car,Final,Heat 1,2019-04-28T20:18:06Z
Top Alcohol Dragster,E2,Heat 1,2019-04-28T17:17:36Z
Top Alcohol Dragster,E2,Heat 2,2019-04-28T17:19:58Z
Top Alcohol Dragster,E2,Heat 3,2019-04-28T17:23:34Z
Top Alcohol Dragster,E2,Heat 4,2019-04-28T17:26:25Z
Top Alcohol Dragster,E3,Heat 1,2019-04-28T19:49:26Z
Top Alcohol Dragster,E3,Heat 2,2019-04-28T19:52:05Z
Top Alcohol Funny Car,E2,Heat 1,2019-04-28T17:12:11Z
Top Alcohol Funny Car,E2,Heat 2,2019-04-28T17:14:44Z
